team,score
Valhalla Quidditch,1585.14818377637
University of Guelph Gryphons,1554.766823354872
Ottawa Otters,1546.01852832962
Carleton Ravens,1515.8917259739103
Queen's Quidditch,1499.6851345286773
uOttawa Quidditch,1499.0064084856524
Valfreyja Quidditch,1493.6507850485928
Waterloo Ridgebacks,1483.4026229716223
McGill Quidditch,1478.8813620860599
Universite de Montreal,1476.732811880712
UofT Centaurs,1467.0771311529168
Royal City Quidditch,1452.5644508310843
Canada's Finest Quidditch Club,1447.17403157991
